haplotype,p0,p1,p5,p50,p95,p99,p100
Patr-B01:01,9846.96,10014.681299999998,10685.566499999999,36163.56,38465.81049999999,38561.6101,38585.56
Patr-B09:01,1376.59,1741.4509000000003,3200.8945,21226.489999999998,28094.078499999996,30274.6957,30819.85
Patr-B13:01,31.36,82.59520000000003,287.53599999999994,15044.509999999998,26332.283999999992,29457.2568,30238.5
Patr-B24:01,1978.61,2417.7047000000002,4174.0835,31321.255,41081.087499999994,42248.5135,42540.37
SLA-104:01,55.86,67.1928,112.52399999999999,638.45,2285.5974999999994,2493.1195,2545
BoLA-DRB302:01,1330.04,1662.4892000000004,2992.2859999999996,15563.91,25307.8165,25737.5233,25844.95
BoLA-DRB311:01,3764.06,3869.7479000000003,4292.4995,34706.465,41657.068499999994,42810.8937,43099.35
BoLA-DRB312:01,1329.58,1640.5111000000002,2884.2355,15253.154999999999,24894.620499999997,25341.2761,25452.94
H-2-IAb,3424.65,3456.7746,3585.273,13290.26,33983.356499999994,35289.6633,35616.24
H-2-IAd,3909.07,4013.0722,4429.081,35248.025,42104.829,43239.5418,43523.22
H-2-IAk,4137.86,4388.7854,5392.486999999999,13412.035,20003.532,20226.8184,20282.64
H-2-IAp,3461.51,3561.9266000000002,3963.593,33861.54,41145.77099999999,42348.970199999996,42649.77
H-2-IAq,3121.19,3125.0249,3140.3645,11784.735,32347.472999999994,33669.342599999996,33999.81
H-2-IAr,3200.31,3269.1303000000003,3544.4115,30588.075,38437.958,39745.7516,40072.7
H-2-IAs,5524.98,5734.5315,6572.737499999999,13928.09,29555.747499999998,30546.7735,30794.53
H-2-IAu,817.82,864.5858000000001,1051.649,3299.885,25040.807499999995,25524.161500000002,25645
H-2-IEb,1183.2,1483.2816000000003,2683.6079999999997,14053.869999999999,24192.6285,24543.077699999998,24630.69
H-2-IEd,3098.44,3325.5730000000003,4234.105,29660.035,43612.571500000005,44254.3543,44414.8
H-2-IEk,4798.2,5644.735500000001,9030.877499999999,29440.22,39976.25749999999,41996.5955,42501.68
H-2-IEp,5373.43,5476.5871,5889.2155,37524.675,43305.7875,44355.925500000005,44618.46
H-2-IEr,1317.78,1653.2982000000002,2995.371,16110.755000000001,25839.434499999996,26276.2549,26385.46
HLA-DPA101:03-DPB102:01,998.97,1025.5848,1132.044,6451.475,18106.6665,18455.5893,18542.82
HLA-DPA101:03-DPB103:01,977.26,1264.6507000000001,2414.2135,15284.294999999998,22976.0055,23629.2651,23792.58
HLA-DPA101:03-DPB104:01,1397.02,1397.1262000000002,1397.551,9219.505000000001,26373.580499999996,27247.340099999998,27465.78
HLA-DPA101:03-DPB104:02,1130.47,1287.9754000000003,1917.9969999999998,9129.155,15115.748999999996,16763.8938,17175.93
HLA-DPA102:01-DPB101:01,1183.23,1223.9019,1386.5895,7337.535,9750.519999999999,10037.944,10109.8
HLA-DPA102:01-DPB105:01,1219.52,1714.9520000000002,3696.6799999999994,17305.325,31532.098999999995,33214.0118,33634.49
HLA-DPA102:02-DPB105:01,2272.61,2487.7514000000006,3348.317,28487.235,42993.793999999994,43796.6948,43997.42
HLA-DPA103:01-DPB104:02,2314.95,2350.3974,2492.187,11786.795,20476.17099999999,22646.114199999996,23188.6
HLA-DPB101:01,1129.55,1293.0467000000003,1947.0334999999998,8299.66,12564.706499999998,12869.0613,12945.15
HLA-DPB102:01,31.16,128.0963000000001,515.8415,3194.565,13541.385999999999,14141.837200000002,14291.95
HLA-DPB103:01,1427.71,1486.4566,1721.443,16629.614999999998,27642.0185,28073.2517,28181.06
HLA-DPB104:01,359.83,822.3445000000004,2672.4024999999997,15317.155,25179.287999999993,27006.129600000004,27462.84
HLA-DPB104:02,281.63,338.1032000000001,563.996,16754.41,35119.748999999996,37402.357800000005,37973.01
HLA-DPB105:01,2037.67,2287.1707,3285.1735,10495.36,18315.176999999992,21208.907400000004,21932.34
HLA-DPB109:01,201.9,234.3351,364.0755,13871.645,31395.909499999994,33805.2779,34407.62
HLA-DPB111:01,1302.59,1603.7012000000002,2808.146,14748.765,24427.699999999997,24835.363999999998,24937.28
HLA-DPB114:01,1084.59,1321.1298000000002,2267.2889999999998,12826.71,21900.9585,22175.8077,22244.52
HLA-DPB120:01,86.52,163.65810000000008,472.21049999999997,12941.095,20117.445499999998,20835.865100000003,21015.47
HLA-DQA101:01-DQB105:01,1353.27,1663.7547000000004,2905.6935000000003,8930.45,18489.455499999996,19461.0271,19703.92
HLA-DQA101:02-DQB105:01,1349.61,1350.3183,1353.1515,6471.64,12751.276499999998,13546.5993,13745.43
HLA-DQA101:02-DQB105:02,1024.07,1203.8558,1922.9989999999998,5079.04,8653.022999999997,8967.3966,9045.99
HLA-DQA101:02-DQB106:02,4743.52,5512.520500000001,8588.5225,21067.725,34465.586,35203.7012,35388.23
HLA-DQA101:02-DQB106:04,7898.41,8263.9459,9726.0895,23240.63,33830.3715,34127.4183,34201.68
HLA-DQA101:03-DQB106:01,1855.76,1855.8743,1856.3315,28176.495,36285.220499999996,37911.1641,38317.65
HLA-DQA101:03-DQB106:03,2386.76,2467.058,2788.25,8512.419999999998,12713.476499999999,13143.3993,13250.88
HLA-DQA101:04-DQB105:03,769.88,911.8676000000002,1479.8179999999998,4810.615,7352.596499999998,7850.9913,7975.59
HLA-DQA102:01-DQB102:01,2833.29,2836.9098,2851.389,11363.875,31775.307499999995,33169.5335,33518.09
HLA-DQA102:01-DQB102:02,258.27,294.9315,441.5775,2689.4049999999997,7805.272999999999,8514.350600000002,8691.62
HLA-DQA102:01-DQB103:01,800.39,872.4971,1160.9254999999998,5788.8150000000005,9617.287499999999,9810.0495,9858.24
HLA-DQA102:01-DQB103:03,1836.92,1917.4493000000002,2239.5665,8208.35,11175.5015,11177.7803,11178.35
HLA-DQA102:01-DQB104:02,508.61,556.7978,749.549,3845.02,11050.715999999997,12102.103200000001,12364.95
HLA-DQA103:01-DQB102:01,1046.33,1339.7507000000003,2513.4335,13792.535,23877.235,24310.063000000002,24418.27
HLA-DQA103:01-DQB103:01,1909.96,2227.3837000000003,3497.0785,12554.880000000001,19986.641499999998,20997.208300000002,21249.85
HLA-DQA103:01-DQB103:02,4875.51,4928.4084,5140.002,9408.955,24065.143499999984,30433.532700000003,32025.63
HLA-DQA103:01-DQB104:01,1063.48,1282.6066,2159.113,20970.29,36095.09799999999,38669.9476,39313.66
HLA-DQA103:02-DQB103:01,4880.22,4933.428,5146.26,8998.33,24039.00399999998,30461.0728,32066.59
HLA-DQA103:02-DQB104:01,3927.06,4015.2699000000002,4368.1095000000005,14557.61,22668.444999999996,23628.096999999998,23868.01
